,created_time,status_type,type,video_length,message,link,permalink_url,comments_count,shares_count,reactions_count,like_count,love_count,wow_count,haha_count,sad_count,angry_count
319,2019-07-30 02:36:55,added_video,video,01:39,#NOME?,https://www.facebook.com/jairmessias.bolsonaro/videos/2145244679108618/,https://www.facebook.com/211857482296579/posts/1536362836512697/,1738.0,2919.0,25339.0,23340.0,1545.0,239.0,93.0,19.0,103.0
320,2019-07-29 22:50:23,added_video,video,02:23,"- Falando ou não, a imprensa continua a mesma, distorcendo os fatos. - Ganhamos nas urnas falando verdades que incomodam. - Alexandre Garcia aqui diz a causa do descrédito cada vez maior da mídia. ASSISTA:",https://www.facebook.com/jairmessias.bolsonaro/videos/1127235387463037/,https://www.facebook.com/211857482296579/posts/1536178576531123/,3079.0,31830.0,78796.0,72821.0,5252.0,285.0,370.0,15.0,53.0
321,2019-07-29 18:49:44,added_video,video,12:33,,https://www.facebook.com/jairmessias.bolsonaro/videos/2386718028074515/,https://www.facebook.com/jairmessias.bolsonaro/videos/2386718028074515/,37530.0,13151.0,146382.0,117004.0,20808.0,578.0,7331.0,116.0,545.0
322,2019-07-29 16:38:24,added_video,video,03:58,"- Pedro Simon: ""pela primeira vez, ao longo dos meus 88 anos, o Brasil caminha para o rumo certo.""",https://www.facebook.com/jairmessias.bolsonaro/videos/503733443696691/,https://www.facebook.com/211857482296579/posts/1535828826566098/,6048.0,73385.0,102308.0,92187.0,8946.0,863.0,251.0,14.0,47.0
323,2019-07-28 23:03:49,added_video,video,01:37,"- Palavras de estímulo aos novos Paraquedistas. - Não existe obstáculo intransponível para aquele que tenha força, coragem e fé.",https://www.facebook.com/jairmessias.bolsonaro/videos/2830965686930756/,https://www.facebook.com/211857482296579/posts/1535172516631729/,1339.0,1533.0,27303.0,25352.0,1759.0,126.0,45.0,3.0,18.0
324,2019-07-28 01:17:24,added_video,video,00:40,"- Encontro com um dos melhores técnicos Brasil, Felipão. - Boa noite a todos.",https://www.facebook.com/jairmessias.bolsonaro/videos/367488670629217/,https://www.facebook.com/211857482296579/posts/1534237983391849/,11935.0,31582.0,234930.0,216285.0,12151.0,468.0,5262.0,99.0,665.0
325,2019-07-27 10:36:24,added_video,video,02:01,"- O Brasil é o país que mais preserva seu meio ambiente. - O produtor rural sempre será tratado com dignidade e reconhecido pelo nosso Governo. - Hoje, pela manhã, estarei na cerimônia dos novos paraquedistas no Rio de Janeiro.",https://www.facebook.com/jairmessias.bolsonaro/videos/390912808210605/,https://www.facebook.com/211857482296579/posts/1533462880136026/,994.0,4125.0,22171.0,20564.0,1336.0,164.0,86.0,6.0,15.0
326,2019-07-26 23:12:58,added_video,video,07:06,,https://www.facebook.com/jairmessias.bolsonaro/videos/583963818800855/,https://www.facebook.com/jairmessias.bolsonaro/videos/583963818800855/,16924.0,7154.0,61899.0,50882.0,10337.0,242.0,274.0,47.0,117.0
327,2019-07-26 16:12:13,added_video,video,07:31,,https://www.facebook.com/jairmessias.bolsonaro/videos/2247539372223098/,https://www.facebook.com/jairmessias.bolsonaro/videos/2247539372223098/,19518.0,13209.0,84577.0,70282.0,13095.0,279.0,763.0,36.0,122.0
328,2019-07-26 16:06:46,added_video,video,03:48,,https://www.facebook.com/jairmessias.bolsonaro/videos/1158471547669264/,https://www.facebook.com/jairmessias.bolsonaro/videos/1158471547669264/,14746.0,14493.0,92473.0,78282.0,12698.0,314.0,1013.0,43.0,123.0
329,2019-07-26 13:09:41,added_video,video,03:10,,https://www.facebook.com/jairmessias.bolsonaro/videos/418554592094977/,https://www.facebook.com/jairmessias.bolsonaro/videos/418554592094977/,9109.0,4510.0,42596.0,34588.0,7502.0,107.0,341.0,14.0,44.0
330,2019-07-25 22:00:50,added_video,video,33:26:00,LIVE DA SEMANA - 25 de julho de 2019:,https://www.facebook.com/jairmessias.bolsonaro/videos/482538742512562/,https://www.facebook.com/jairmessias.bolsonaro/videos/482538742512562/,34012.0,14284.0,77632.0,64130.0,12172.0,223.0,620.0,65.0,422.0
331,2019-07-25 13:18:05,added_video,video,00:27,- Pousando em Manaus.... .... muito bem escoltado pela nossa Força Aérea. - A Amazônia é nossa. - Deus acima de todos.,https://www.facebook.com/jairmessias.bolsonaro/videos/2310223059227891/,https://www.facebook.com/211857482296579/posts/1531173713698276/,7820.0,27481.0,121252.0,107600.0,12346.0,482.0,721.0,15.0,88.0
332,2019-07-25 13:01:02,added_photos,photo,,,https://www.facebook.com/jairmessias.bolsonaro/photos/a.250567771758883/1531152860367028/?type=3,https://www.facebook.com/211857482296579/posts/1531152903700357/,1685.0,3254.0,26391.0,22536.0,165.0,1699.0,158.0,189.0,1644.0
333,2019-07-25 08:20:23,added_photos,photo,,"- Hoje estarei em Manaus, com agenda na SUFRAMA, bem como a um Colégio Militar da nossa Polícia Militar do Amazonas. - Bom dia a todos.",https://www.facebook.com/jairmessias.bolsonaro/photos/a.250567771758883/1530895730392741/?type=3,https://www.facebook.com/211857482296579/posts/1530895757059405/,5548.0,5115.0,109604.0,100861.0,7959.0,503.0,200.0,19.0,62.0
334,2019-07-24 13:11:29,mobile_status_update,status,,"- Segundo dados da Abracorp, nosso Turismo de Negócios cresceu quase 15% no primeiro semestre deste ano em relação ao mesmo período de 2018, o que significa aumento de aproximadamente R$ 720 milhões movimentados no setor, totalizando R$ 5,57 bilhões. 👍",,https://www.facebook.com/211857482296579/posts/1530208863794761/,1790.0,2562.0,31636.0,29052.0,2187.0,303.0,64.0,3.0,27.0
335,2019-07-24 10:09:02,added_video,video,00:54,"- Capitão Tarcísio, Ministro da Infraestrutura, fala da importância para o Nordeste do novo aeroporto de Vitória da Conquista/Bahia. - Entrevistado pelo pernambucano Gilson, presidente da EMBRATUR. - O NORDESTE É NOSSO. - UM SÓ BRASIL.",https://www.facebook.com/jairmessias.bolsonaro/videos/437255870194184/,https://www.facebook.com/211857482296579/posts/1530092560473058/,2278.0,10029.0,47588.0,44172.0,3060.0,251.0,77.0,6.0,22.0
336,2019-07-23 21:12:28,added_video,video,08:17,,https://www.facebook.com/jairmessias.bolsonaro/videos/908551552818673/,https://www.facebook.com/jairmessias.bolsonaro/videos/908551552818673/,14550.0,6928.0,61697.0,47943.0,12958.0,224.0,400.0,33.0,139.0
